index,Id,Name,Year,Gender,Count
550,1070003,Brandie,1990,F,429
551,1070004,Brittanie,1990,F,429
552,1070005,Chantal,1990,F,428
553,1070006,Terri,1990,F,426
554,1070007,Eliza,1990,F,424
555,1070008,Araceli,1990,F,423
556,1070009,Edith,1990,F,423
557,1070010,Susana,1990,F,423
558,1070011,Alexia,1990,F,422
559,1070012,Ashlyn,1990,F,419
560,1070013,Joanne,1990,F,418
561,1070014,Skylar,1990,F,418
562,1070015,Jena,1990,F,417
563,1070016,Kirstin,1990,F,413
564,1070017,Shelly,1990,F,413
565,1070018,Kiera,1990,F,412
566,1070019,Aisha,1990,F,410
567,1070020,Katelin,1990,F,409
568,1070021,Paulina,1990,F,408
569,1070022,Kyra,1990,F,407
570,1070023,Sade,1990,F,407
571,1070024,Betty,1990,F,406
572,1070025,Tamika,1990,F,404
573,1070026,Cecily,1990,F,403
574,1070027,Tess,1990,F,403
575,1070028,Judy,1990,F,402
576,1070029,Madeleine,1990,F,402
577,1070030,Maegan,1990,F,402
578,1070031,Allie,1990,F,400
579,1070032,Lucia,1990,F,399
580,1070033,Sherry,1990,F,399
581,1070034,Lynn,1990,F,398
582,1070035,Maricela,1990,F,398
583,1070036,Lily,1990,F,397
584,1070037,Angie,1990,F,395
585,1070038,Jennie,1990,F,394
586,1070039,Emilee,1990,F,392
587,1070040,Celia,1990,F,391
588,1070041,Lakeisha,1990,F,391
589,1070042,Genesis,1990,F,390
590,1070043,Noemi,1990,F,389
591,1070044,Brittny,1990,F,388
592,1070045,Keshia,1990,F,385
593,1070046,Dianna,1990,F,384
594,1070047,Jayme,1990,F,381
595,1070048,Dakota,1990,F,380
596,1070049,Maranda,1990,F,380
597,1070050,Eleanor,1990,F,378
598,1070051,Savanna,1990,F,378
599,1070052,Jessika,1990,F,377
600,1070053,Kaley,1990,F,377
601,1070054,Adrian,1990,F,376
602,1070055,Kailey,1990,F,376
603,1070056,Luz,1990,F,375
604,1070057,Rhonda,1990,F,373
605,1070058,Sophie,1990,F,373
606,1070059,Talia,1990,F,373
607,1070060,Britni,1990,F,370
608,1070061,Jerrica,1990,F,370
609,1070062,Silvia,1990,F,370
610,1070063,Hollie,1990,F,369
611,1070064,Logan,1990,F,368
612,1070065,Shante,1990,F,368
613,1070066,Kenya,1990,F,366
614,1070067,Marisela,1990,F,366
615,1070068,Christin,1990,F,365
616,1070069,Emilie,1990,F,365
617,1070070,Octavia,1990,F,365
618,1070071,Josie,1990,F,363
619,1070072,Kaci,1990,F,362
620,1070073,Kiersten,1990,F,362
621,1070074,Fatima,1990,F,361
622,1070075,Jenifer,1990,F,359
623,1070076,Lizbeth,1990,F,358
624,1070077,Belinda,1990,F,357
625,1070078,Lizette,1990,F,357
626,1070079,Gretchen,1990,F,356
627,1070080,Katlin,1990,F,356
628,1070081,Kristian,1990,F,356
629,1070082,Bryanna,1990,F,355
630,1070083,Janette,1990,F,355
631,1070084,Terra,1990,F,355
632,1070085,Yadira,1990,F,355
633,1070086,Angelique,1990,F,354
634,1070087,Ashely,1990,F,354
635,1070088,Perla,1990,F,354
636,1070089,Racheal,1990,F,354
637,1070090,Bobbie,1990,F,351
638,1070091,Danica,1990,F,351
639,1070092,Dayna,1990,F,351
