propertycode,Maximum,Minimum,Normalized Maximum
51235,76.91,75.94,0.0036028986982861466
51242,115.1,72.86,0.005716163961495299
51251,776.1,490.37,0.04229297304715254
51267,144.59,88.31,0.0073480098010354385
51272,209.61,59.87,0.010945928298387078
51276,170.01,62.3,0.00875463988720398
51279,175.85,98.8,0.009077799592287548
51300,66.31,43.24,0.003016341699333096
51541,164.76,60.28,0.008464128166024404
51545,72.11,37.02,0.0033372879817791046
51565,95.03,36.96,0.004605579153100231
51571,210.12,125.66,0.01097414943701595
51576,184.78,107.39,0.009571946196122526
51577,244.97,38.01,0.012902593909988953
51632,134.62,108.5,0.006796314208623937
51639,86.38,56.14,0.004126926507728165
51657,146.5,46.78,0.007453700731978865
51670,12713.2,98.0,0.7028391572171966
51675,109.82,51.74,0.005423992173337553
51678,152.05,88.7,0.007760813122940133
51681,109.82,72.86,0.005423992173337553
51685,116.16,58.07,0.005774819661390604
59258,99.46,57.21,0.004850715710209854
59547,145.41,31.88,0.007393384965105391
59704,61.69,53.47,0.0027606913846950675
59709,70.66,31.04,0.003257051411167602
59917,159.06,69.4,0.008148715440172292
59932,298.47,145.02,0.015863046687723693
59935,170.52,89.86,0.008782861025832854
59941,205.53,102.24,0.010720159189356092
59961,118.77,56.98,0.005919245488491308
59965,250.97,112.58,0.013234607305622755
59969,94.64,68.78,0.004583998282384033
60022,120.38,60.53,0.006008335749653045
60025,1345.7,538.81,0.07381211140598819
60028,157.34,65.57,0.008053538266757268
60029,262.92,126.67,0.013895867318593413
60034,244.18,66.79,0.01285887881289717
60035,92.48,92.48,0.004464473459955864
60043,211.19,135.16,0.011033358492570646
60048,212.56,83.63,0.01110916821790703
60049,227.03,69.31,0.011909873857043883
60055,177.33,68.64,0.009159696229877222
60059,246.03,91.38,0.012961249609884259
60068,99.3,32.1,0.004841862019659619
60074,146.77,84.58,0.0074686413347823865
60075,125.54,57.02,0.006293867269898116
60079,142.55,100.32,0.007235125246519945
60086,174.64,95.03,0.009010843557501398
60092,197.45,84.48,0.010273047816569238
60096,167.09,80.78,0.008593060034662198
60102,1055.92,1054.87,0.05777697110819431
60103,128.68,42.94,0.006467620946946473
60115,79.4,52.93,0.003740684257474175
60116,195.35,106.44,0.010156843128097406
60119,147.83,100.32,0.007527297034677692
60120,184.67,91.02,0.009565859283869238
60130,373.8,168.11,0.02003147486990608
60132,126.71,58.34,0.006358609882046707
60134,237.56,136.21,0.012492557366381208
60151,137.27,60.19,0.006942953458362201
60155,239.69,48.57,0.012610422121831208
60159,199.57,83.41,0.010390359216359848
